# R5_s1_current.csv run at 2000-01-01 00:00:00 EST on 52 links
link_name,currA_real,currA_imag,currB_real,currB_imag,currC_real,currC_imag
line_seg_0,1850.277643,-2947.388276,-1957.711169,-148.778069,1106.724197,2208.401261
line_seg_1,0.000000,0.000000,-31.331183,-8.063244,0.000000,0.000000
line_seg_2,1848.247313,-2945.933731,-1915.123096,-137.762100,1097.104765,2157.179450
line_seg_3,0.000000,0.000000,-5.880729,-1.169644,0.000000,0.000000
line_seg_4,0.000000,0.000000,0.000000,0.000000,5.643913,21.184720
line_seg_5,1847.817018,-2945.604754,-1908.822180,-136.505612,1090.737672,2133.327981
line_seg_6,0.000000,0.000000,-4.963650,-0.901342,0.000000,0.000000
line_seg_7,1847.817018,-2945.604754,-1903.858529,-135.604270,1090.737672,2133.327981
line_seg_8,56.642545,-51.890593,0.000000,0.000000,2.411974,5.688586
line_seg_9,44.292171,-40.758658,0.000000,0.000000,0.000000,0.000000
line_seg_10,1790.682337,-2893.263383,-1900.234594,-135.386497,1088.175567,2127.242354
line_seg_11,0.000000,0.000000,0.000000,0.000000,10.189075,24.115384
line_seg_12,1221.560637,-2283.269057,-1302.453818,-145.079520,776.777469,1482.713702
line_seg_13,0.000000,0.000000,-50.831622,1.238328,0.000000,0.000000
line_seg_14,0.000000,0.000000,-23.650698,0.506810,0.000000,0.000000
line_seg_15,1221.560637,-2283.269057,-1227.971498,-146.824658,776.777469,1482.713702
line_seg_16,13.345617,-14.981193,0.000000,0.000000,0.000000,0.000000
line_seg_17,1208.215020,-2268.287864,-1227.971498,-146.824658,776.777469,1482.713702
line_seg_18,40.016195,-44.445764,0.000000,0.000000,0.000000,0.000000
line_seg_19,544.351661,-1484.255741,-702.590177,-183.399047,454.246637,898.832287
line_seg_20,0.000000,0.000000,-45.125711,2.432176,0.000000,0.000000
line_seg_21,0.000000,0.000000,-23.026313,1.509511,13.555870,27.276609
line_seg_22,544.351661,-1484.255741,-634.438152,-187.340733,440.690767,871.555678
line_seg_23,0.000000,0.000000,0.000000,0.000000,37.277618,70.007336
line_seg_24,0.000000,0.000000,0.000000,0.000000,25.854320,48.616833
line_seg_25,0.000000,0.000000,0.000000,0.000000,11.423299,21.390503
line_seg_26,544.351661,-1484.255741,-634.438152,-187.340733,403.413149,801.548342
line_seg_27,40.931623,-83.315426,-0.134266,-0.072431,0.000000,0.000000
line_seg_28,18.012940,-36.640253,0.000000,0.000000,0.000000,0.000000
line_seg_29,0.000000,0.000000,0.000000,0.000000,31.711934,54.812750
line_seg_30,503.420039,-1400.940315,-634.303886,-187.268303,371.701216,746.735592
line_seg_31,64.973314,-86.877579,0.000000,0.000000,0.000000,0.000000
line_seg_32,438.446724,-1314.062736,-634.303886,-187.268303,371.701216,746.735592
line_seg_33,0.000000,0.000000,0.000000,0.000000,28.313199,44.641797
line_seg_34,438.446724,-1314.062736,-634.303886,-187.268303,338.971195,695.139292
line_seg_35,0.000000,0.000000,-62.630583,8.657723,0.000000,0.000000
line_seg_36,435.942417,-1312.465500,-571.231999,-195.981521,334.846691,689.805424
line_seg_37,420.739715,-1270.963195,-554.646468,-200.497568,322.412534,674.992314
line_seg_38,5.944960,-18.165314,-0.778056,0.204997,15.750720,18.935571
line_seg_39,414.794754,-1252.797880,-553.868411,-200.702565,292.921015,639.928393
line_seg_40,0.000000,0.000000,0.000000,0.000000,20.096932,29.574965
line_seg_41,0.000000,0.000000,0.000000,0.000000,20.096932,29.574965
line_seg_42,411.488562,-1231.590064,-541.267712,-201.623159,268.285233,603.058592
line_seg_43,2.468395,-16.591179,-10.580213,0.954535,0.412668,0.618524
line_seg_44,409.020166,-1214.998885,-530.687499,-202.577694,267.872566,602.440067
line_seg_45,377.705061,-1069.750253,-473.405091,-194.753646,245.725670,567.843362
line_seg_46,9.025529,-31.455346,-15.324391,-5.043241,7.648774,18.889704
line_seg_47,207.200446,-481.916125,-209.466281,-108.365084,111.198347,278.198623
line_seg_48,23.562382,-62.311034,-33.825607,-18.415695,19.342069,43.516278
line_seg_49,172.254132,-352.085602,-147.542841,-82.763133,75.099437,199.436931
line_seg_50,14.200441,-22.154201,-19.619081,-10.360284,7.616765,12.822088
line_seg_51,147.781892,-311.221781,-124.332300,-70.227792,65.022407,183.949531
