# R5_s1_voltage.csv run at 2000-01-01 00:00:00 EST on 142 nodes
node_name,voltA_real,voltA_imag,voltB_real,voltB_imag,voltC_real,voltC_imag
R5-12-47-1_node_265,7970.000000,0.000000,-3985.000000,-6902.222468,-3985.000000,6902.222468
R5-12-47-1_node_105,5465.373306,-529.045920,-4637.277236,-4642.073984,-2055.533786,6233.893861
R5-12-47-1_node_107,0.000000,0.000000,-4635.279883,-4638.513133,0.000000,0.000000
R5-12-47-1_node_104,5038.390677,-629.569869,-4767.014768,-4283.650118,-1746.771643,6233.878669
R5-12-47-1_node_196,0.000000,0.000000,-4766.621868,-4283.392842,0.000000,0.000000
R5-12-47-1_node_21,0.000000,0.000000,0.000000,0.000000,-1746.093939,6232.290917
R5-12-47-1_node_111,4912.535078,-660.642541,-4815.388943,-4182.280958,-1666.154849,6252.743801
R5-12-47-1_node_197,0.000000,0.000000,-4815.011169,-4182.043872,0.000000,0.000000
R5-12-47-1_node_166,4026.907230,-872.414516,-5135.416452,-3470.261402,-1069.850701,6385.896809
R5-12-47-1_node_119,4014.296722,-858.656538,0.000000,0.000000,-1050.542726,6424.965945
R5-12-47-1_node_80,4000.419966,-859.558123,0.000000,0.000000,0.000000,0.000000
R5-12-47-1_node_165,3690.559086,-954.812357,-5240.163557,-3153.974984,-827.413648,6311.086555
R5-12-47-1_node_79,0.000000,0.000000,0.000000,0.000000,-825.277926,6306.197449
R5-12-47-1_node_149,3523.432298,-1003.750838,-5316.252817,-3013.803156,-713.947262,6304.404236
R5-12-47-1_node_78,0.000000,0.000000,-5307.203950,-3004.763665,0.000000,0.000000
R5-12-47-1_node_112,0.000000,0.000000,-5312.676188,-3010.217036,0.000000,0.000000
R5-12-47-1_node_164,3304.251402,-1046.496983,-5354.558283,-2856.288035,-490.762636,6298.098692
R5-12-47-1_node_120,3303.619433,-1046.474392,0.000000,0.000000,0.000000,0.000000
R5-12-47-1_node_145,3303.134648,-1046.710631,-5354.749347,-2855.455100,-489.628804,6297.993044
R5-12-47-1_node_113,3287.386179,-1046.354543,0.000000,0.000000,0.000000,0.000000
R5-12-47-1_node_163,3241.584482,-1055.254006,-5366.554177,-2804.972456,-414.848121,6274.162146
R5-12-47-1_node_114,0.000000,0.000000,-5354.596480,-2796.601065,0.000000,0.000000
R5-12-47-1_node_10,0.000000,0.000000,-5361.177399,-2789.995866,-419.510166,6257.611828
R5-12-47-1_node_160,3142.149876,-1068.738835,-5375.553501,-2751.780341,-286.520673,6247.259266
R5-12-47-1_node_138,0.000000,0.000000,0.000000,0.000000,-286.486356,6247.138111
R5-12-47-1_node_11,0.000000,0.000000,0.000000,0.000000,-280.342652,6228.674509
R5-12-47-1_node_115,0.000000,0.000000,0.000000,0.000000,-283.870904,6239.229694
R5-12-47-1_node_130,2952.200760,-1111.276312,-5432.572148,-2618.057110,-49.076008,6271.451741
R5-12-47-1_node_122,3012.096788,-1956.122167,-5833.464381,-5610.768242,0.000000,0.000000
R5-12-47-1_node_58,3004.784743,-1953.827472,0.000000,0.000000,0.000000,0.000000
R5-12-47-1_node_129,0.000000,0.000000,0.000000,0.000000,-43.817378,6253.145491
R5-12-47-1_node_136,2839.168487,-1161.369610,-5532.757747,-2541.728067,53.413326,6327.723981
R5-12-47-1_node_123,2823.896655,-1159.568753,0.000000,0.000000,0.000000,0.000000
R5-12-47-1_node_133,2690.652648,-1208.691393,-5618.956919,-2415.222040,197.292283,6288.744719
R5-12-47-1_node_124,0.000000,0.000000,0.000000,0.000000,199.660565,6279.314912
R5-12-47-1_node_156,2623.570376,-1257.937606,-5685.566188,-2419.129791,225.133737,6288.852157
R5-12-47-1_node_146,0.000000,0.000000,-5678.484224,-2413.405848,0.000000,0.000000
R5-12-47-1_node_261,2031.505116,-1522.628648,-6215.954779,-1998.495431,835.210844,6598.211951
R5-12-47-1_node_36,1691.393025,-1677.009802,-6538.362479,-1764.997746,1185.807077,6772.177702
R5-12-47-1_node_81,1710.097471,-1705.897567,-6583.284984,-1818.034557,1150.719334,6777.267437
R5-12-47-1_node_46,1786.483803,-2302.127736,-7168.650639,-3089.329676,457.142467,7370.775966
R5-12-47-1_node_47,0.000000,0.000000,0.000000,0.000000,457.165672,7370.751752
R5-12-47-1_node_154,0.000000,0.000000,0.000000,0.000000,458.324807,7365.291675
R5-12-47-1_node_45,1784.150056,-2301.747117,-7146.331075,-3094.339491,454.609155,7358.262440
R5-12-47-1_node_28,1789.403589,-2303.808322,-7156.645964,-3087.740651,459.293064,7371.734516
R5-12-47-1_node_263,1792.154233,-2088.374729,-5392.672481,-3800.088051,-96.107100,6198.351058
R5-12-47-1_node_68,2300.806566,-1979.862376,-4015.358176,-4988.241854,-1003.302598,5350.527612
R5-12-47-1_node_172,2285.699388,-1986.820946,-4031.591043,-4975.243262,-989.132679,5355.888168
R5-12-47-1_node_74,2448.654851,-1792.941866,-3286.951213,-5127.144609,-1157.955290,4814.995669
R5-12-47-1_node_182,2433.863531,-1797.527756,-3295.595452,-5113.709528,-1144.283121,4804.145696
R5-12-47-1_node_75,2440.050133,-1754.051283,-3144.110141,-5186.834805,-1200.812789,4697.390100
R5-12-47-1_node_12,2434.491286,-1758.829639,-3133.761574,-5178.472787,-1205.095506,4690.105136
R5-12-47-1_node_3,2336.338365,-1500.573029,-2675.859629,-5098.004543,-1104.242040,4227.067044
load_seg_0,5465.373306,-529.045920,-4637.277236,-4642.073984,-2055.533786,6233.893861
load_junction_seg_0,5465.373306,-529.045920,-4637.277236,-4642.073984,-2055.533786,6233.893861
load_seg_1,0.000000,0.000000,-4635.279883,-4638.513133,0.000000,0.000000
load_junction_seg_1,0.000000,0.000000,-4635.279883,-4638.513133,0.000000,0.000000
load_seg_2,5038.390677,-629.569869,-4767.014768,-4283.650118,-1746.771643,6233.878669
load_junction_seg_2,5038.390677,-629.569869,-4767.014768,-4283.650118,-1746.771643,6233.878669
load_seg_3,0.000000,0.000000,-4766.621868,-4283.392842,0.000000,0.000000
load_junction_seg_3,0.000000,0.000000,-4766.621868,-4283.392842,0.000000,0.000000
load_seg_4,0.000000,0.000000,0.000000,0.000000,-1746.093939,6232.290917
load_junction_seg_4,0.000000,0.000000,0.000000,0.000000,-1746.093939,6232.290917
load_seg_5,4912.535078,-660.642541,-4815.388943,-4182.280958,-1666.154849,6252.743801
load_seg_6,0.000000,0.000000,-4815.011169,-4182.043872,0.000000,0.000000
load_junction_seg_6,0.000000,0.000000,-4815.011169,-4182.043872,0.000000,0.000000
load_seg_7,4026.907230,-872.414516,-5135.416452,-3470.261402,-1069.850701,6385.896809
load_junction_seg_7,4026.907230,-872.414516,-5135.416452,-3470.261402,-1069.850701,6385.896809
load_seg_8,4014.296722,-858.656538,0.000000,0.000000,-1050.542726,6424.965945
