# output_current.csv run at 2000-01-01 00:00:00 EST on 683 links
link_name,currA_real,currA_imag,currB_real,currB_imag,currC_real,currC_imag
R5-12-47-1_fuse_1,71.679982,-49.645381,-78.702912,-37.840432,7.503926,88.076931
R5-12-47-1_fuse_2,0.000000,0.000000,0.000000,0.000000,0.037633,1.229804
R5-12-47-1_fuse_3,0.000000,0.000000,-6.928564,-3.874445,0.000000,0.000000
R5-12-47-1_fuse_4,0.000000,0.000000,0.000000,0.000000,0.068038,3.434579
R5-12-47-1_fuse_5,0.000000,0.000000,-1.950935,-2.635764,0.000000,0.000000
R5-12-47-1_fuse_6,15.772385,-11.090430,-17.466390,-8.244750,1.792099,19.460880
R5-12-47-1_fuse_7,4.875309,-3.355646,-5.339013,-2.584821,0.491142,5.979884
R5-12-47-1_fuse_8,3.935715,-2.712788,-4.313749,-2.084787,0.400506,4.829644
R5-12-47-1_fuse_9,10.516613,-7.316973,-12.057245,-5.819795,1.141636,14.494489
R5-12-47-1_fuse_10,120.068452,-77.096742,-114.796722,-56.003811,15.925167,122.638430
R5-12-47-1_fuse_11,10.653705,-5.982882,0.000000,0.000000,-0.130448,10.920267
R5-12-47-1_fuse_12,8.273067,-4.609720,0.000000,0.000000,0.000000,0.000000
R5-12-47-1_fuse_13,0.000000,0.000000,0.000000,0.000000,-0.031902,4.718513
R5-12-47-1_fuse_14,0.000000,0.000000,-10.483519,-5.923956,0.000000,0.000000
R5-12-47-1_fuse_15,1.735705,-0.962347,0.000000,0.000000,0.000000,0.000000
R5-12-47-1_fuse_16,0.000000,0.000000,-15.730187,-8.368967,0.640422,24.564770
R5-12-47-1_fuse_17,0.000000,0.000000,0.000000,0.000000,2.128354,63.737665
R5-12-47-1_fuse_18,0.000000,0.000000,0.000000,0.000000,0.241192,6.688983
R5-12-47-1_fuse_19,0.000000,0.000000,-44.111322,-23.623014,0.000000,0.000000
R5-12-47-1_fuse_20,0.000000,0.000000,-13.431274,-7.123444,0.000000,0.000000
R5-12-47-1_fuse_21,0.000000,-0.000000,0.000000,0.000000,0.882864,8.770312
R5-12-47-1_fuse_22,0.000000,0.000000,0.000000,0.000000,0.732121,18.903212
R5-12-47-1_fuse_23,0.000000,0.000000,0.000000,0.000000,1.468451,34.320712
R5-12-47-1_fuse_24,5.386971,-3.226238,-9.213424,-5.381555,0.024329,0.714079
R5-12-47-1_fuse_25,0.000000,0.000000,-12.840249,-7.600002,0.000000,0.000000
R5-12-47-1_fuse_26,0.000000,0.000000,-23.515442,-13.034220,0.000000,0.000000
R5-12-47-1_fuse_27,0.000000,0.000000,0.000000,0.000000,0.416705,18.080786
R5-12-47-1_fuse_28,34.181417,-20.689479,0.000000,0.000000,0.289529,5.139633
R5-12-47-1_fuse_29,0.000000,0.000000,0.000000,0.000000,0.531485,21.345464
R5-12-47-1_fuse_30,0.000000,0.000000,-34.834977,-18.813168,0.000000,0.000000
R5-12-47-1_fuse_31,7.524267,-4.643153,0.000000,0.000000,0.000000,0.000000
R5-12-47-1_fuse_32,0.000000,0.000000,0.000000,0.000000,0.590417,18.243981
R5-12-47-1_fuse_33,36.043378,-22.444168,-0.114215,-0.108948,0.000000,0.000000
R5-12-47-1_fuse_34,35.813137,-22.386455,0.000000,0.000000,0.000000,0.000000
R5-12-47-1_fuse_35,0.000000,0.000000,0.000000,0.000000,0.511365,18.212667
R5-12-47-1_fuse_36,0.000000,0.000000,-16.189987,-8.802271,0.000000,0.000000
R5-12-47-1_fuse_37,22.434479,-13.645899,0.000000,0.000000,0.000000,0.000000
R5-12-47-1_fuse_38,0.000000,0.000000,-30.652275,-16.698079,0.000000,0.000000
R5-12-47-1_fuse_39,0.000000,0.000000,0.000000,0.000000,1.617889,51.098739
R5-12-47-1_fuse_40,0.000000,0.000000,0.000000,0.000000,1.514001,42.899906
R5-12-47-1_fuse_41,0.000000,0.000000,-27.422215,-14.733421,0.000000,0.000000
R5-12-47-1_fuse_42,0.000000,0.000000,-5.999218,-3.715185,0.000000,0.000000
R5-12-47-1_fuse_43,0.000000,0.000000,-4.237212,-2.546391,0.000000,0.000000
R5-12-47-1_fuse_44,11.546051,-7.921390,-12.661307,-6.128369,1.181467,14.146042
R5-12-47-1_fuse_45,15.772385,-11.090430,-17.466390,-8.244750,1.792099,19.460880
R5-12-47-1_fuse_46,8.756850,-11.147510,-14.052119,-2.105754,5.388070,13.327628
R5-12-47-1_fuse_47,15.250902,-10.649892,-16.846584,-8.009730,1.688631,18.785756
R5-12-47-1_fuse_48,0.000000,0.000000,-3.577111,-1.969115,0.000000,0.000000
R5-12-47-1_fuse_49,0.000000,0.000000,-4.270159,-2.351253,0.000000,0.000000
R5-12-47-1_fuse_50,0.000000,0.000000,0.000000,0.000000,-0.104710,4.040574
R5-12-47-1_fuse_51,10.215522,-7.128740,-11.277383,-5.367473,1.123283,12.580362
R5-12-47-1_switch_1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
R5-12-47-1_switch_2,400.449037,-260.135089,-456.345355,-237.802788,43.807759,630.329658
R5-12-47-1_switch_3,400.449037,-260.135089,-456.345355,-237.802788,43.807759,630.329658
R5-12-47-1_switch_4,231.620559,-156.527267,-234.944359,-115.686301,31.778502,244.041531
R5-12-47-1_switch_5,7.248757,-5.102361,-8.037416,-3.786808,0.832419,8.950255
R5-12-47-1_switch_6,171.093150,-119.510666,-179.083549,-85.390298,26.940932,192.474529
R5-12-47-1_switch_7,227.928754,-153.891021,-220.594345,-108.430096,31.559069,239.447051
R5-12-47-1_switch_9,298.175784,-197.470628,-316.208275,-161.379259,38.467976,400.222505
R5-12-47-1_switch_10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
R5-12-47-1_switch_11,228.228727,-154.076974,-231.369754,-113.936557,31.571397,239.804347
R5-12-47-1_ol_1,71.679982,-49.645381,-78.702912,-37.840432,7.503926,88.076931
R5-12-47-1_ol_2,71.679982,-49.645381,-78.702912,-37.840432,7.503926,88.076931
R5-12-47-1_ol_3,79.922378,-53.935485,-78.702912,-37.840432,9.022326,90.340637
R5-12-47-1_ol_4,0.000000,0.000000,0.000000,0.000000,0.844504,25.794174
R5-12-47-1_ol_5,0.000000,0.000000,0.000000,0.000000,0.037633,1.229804
R5-12-47-1_ol_6,0.000000,0.000000,-10.308637,-5.586556,0.000000,0.000000
R5-12-47-1_ol_7,0.000000,0.000000,-8.316470,-4.564523,0.008824,0.353328
R5-12-47-1_ol_8,0.000000,0.000000,0.000000,0.000000,0.336657,10.434496
R5-12-47-1_ol_9,1.682904,-1.139790,-1.826357,-0.901502,0.152317,2.054445
R5-12-47-1_ol_10,10.255066,-7.068808,-11.239510,-5.431970,1.042488,12.584073
R5-12-47-1_ol_11,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
R5-12-47-1_ol_12,399.852492,-259.783814,-448.814823,-233.586626,43.707882,615.453559
R5-12-47-1_ol_13,0.000000,0.000000,-6.928564,-3.874445,0.000000,0.000000
R5-12-47-1_ol_14,400.150827,-259.959888,-456.044873,-237.631894,43.809870,624.512860
R5-12-47-1_ol_15,0.000000,0.000000,0.000000,0.000000,0.068038,3.434579
R5-12-47-1_ol_16,0.000000,0.000000,0.000000,0.000000,0.184046,7.906641
R5-12-47-1_ol_17,400.150827,-259.959888,-456.044873,-237.631894,43.809870,624.512860
R5-12-47-1_ol_18,400.449037,-260.135089,-456.345355,-237.802788,43.807759,630.329658
R5-12-47-1_ol_19,0.299863,-0.185580,-8.902612,-5.212138,0.012168,0.357033
R5-12-47-1_ol_20,5.386971,-3.226238,-9.213424,-5.381555,0.024329,0.714079
R5-12-47-1_ol_21,0.000000,-0.000000,-1.950935,-2.635765,-0.000000,-0.000000
R5-12-47-1_ol_22,228.228727,-154.076974,-231.369754,-113.936557,31.571397,239.804347
R5-12-47-1_ol_23,243.923443,-163.826789,-257.887664,-130.779066,33.295736,279.790590
R5-12-47-1_ol_24,244.223152,-164.011810,-258.197983,-130.948644,33.304286,287.688042
R5-12-47-1_ol_25,249.425441,-166.823678,-258.818144,-131.287968,34.011055,309.666312
R5-12-47-1_ol_26,-0.000000,-0.000000,-5.999218,-3.715185,0.000000,0.000000
R5-12-47-1_ol_27,0.000000,0.000000,-5.999218,-3.715185,0.000000,0.000000
R5-12-47-1_ol_28,261.270914,-174.928678,-271.788514,-137.586225,36.031583,345.194064
R5-12-47-1_ol_29,0.000000,0.000000,-4.237212,-2.546391,0.000000,0.000000
R5-12-47-1_ol_30,243.923443,-163.826789,-251.888446,-127.063882,33.295736,279.790590
R5-12-47-1_ol_31,-0.000000,-0.000000,0.000000,-0.000000,0.732121,18.903212
R5-12-47-1_ol_32,0.000000,0.000000,0.000000,0.000000,0.321712,8.296111
R5-12-47-1_ol_33,249.425441,-166.823678,-258.818144,-131.287968,34.743175,328.569524
R5-12-47-1_ol_34,237.307466,-159.939394,-247.340449,-124.348064,31.815137,245.112850
R5-12-47-1_ol_35,243.923443,-163.826789,-247.651234,-124.517491,33.295736,279.790590
R5-12-47-1_ol_36,-0.000000,-0.000000,-0.000000,-0.000000,1.468451,34.320712
R5-12-47-1_ol_37,231.920496,-156.713155,-238.127025,-118.966509,31.790807,244.398772
R5-12-47-1_ol_38,11.546051,-7.921390,-12.661307,-6.128369,1.181467,14.146042
R5-12-47-1_ol_39,11.195490,-7.810452,-15.142888,-9.697012,3.999925,17.864868
R5-12-47-1_ol_40,21.450556,-14.879260,-26.382398,-15.128983,5.042413,30.448941
R5-12-47-1_ol_41,103.286817,-69.196184,-96.483673,-46.254562,12.005321,111.557528
R5-12-47-1_ol_42,15.772385,-11.090430,-17.466390,-8.244750,1.792099,19.460880
R5-12-47-1_ol_43,15.772385,-11.090430,-17.466390,-8.244750,1.792099,19.460880
R5-12-47-1_ol_44,9.154323,-5.696685,0.000000,0.000000,0.000000,0.000000
R5-12-47-1_ol_45,155.369041,-106.615156,-159.544987,-75.323334,26.756156,171.244643
R5-12-47-1_ol_46,186.344052,-130.160558,-195.930134,-93.400028,28.629563,211.260285
R5-12-47-1_ol_47,186.344052,-130.160558,-195.930134,-93.400028,28.629563,211.260285
R5-12-47-1_ol_48,15.250902,-10.649892,-16.846584,-8.009730,1.688631,18.785756
R5-12-47-1_ol_49,160.171619,-111.372280,-163.268924,-77.252789,25.799296,177.980040
R5-12-47-1_ol_50,4.802578,-4.757124,-3.723937,-1.929455,-0.956860,6.735397
R5-12-47-1_ol_51,3.935715,-2.712788,-4.313749,-2.084787,0.400506,4.829644
R5-12-47-1_ol_52,8.756850,-11.147510,-14.052119,-2.105754,5.388070,13.327628
R5-12-47-1_ol_53,171.093150,-119.510666,-179.083549,-85.390298,26.940932,192.474529
R5-12-47-1_ol_54,10.516613,-7.316973,-12.057245,-5.819795,1.141636,14.494489
R5-12-47-1_ol_55,0.000000,0.000000,0.000000,0.000000,0.025085,0.401611
R5-12-47-1_ol_56,120.068452,-77.096742,-114.796722,-56.003811,15.925167,122.638430
R5-12-47-1_ol_57,141.519007,-91.976002,-141.179119,-71.132793,20.967580,153.087371
R5-12-47-1_ol_58,116.345388,-75.721452,-112.272421,-54.474773,14.816099,120.980349
R5-12-47-1_ol_59,103.286817,-69.196184,-96.483673,-46.254562,12.005321,111.557528
R5-12-47-1_ol_60,0.000000,0.000000,-7.299681,-3.949106,0.000000,0.000000
R5-12-47-1_ol_61,0.000000,0.000000,0.000000,0.000000,0.042486,3.803941
R5-12-47-1_ol_62,5.671364,-3.470810,0.000000,0.000000,0.000000,0.000000
R5-12-47-1_ol_63,4.900813,-2.769156,-0.310079,-0.169661,0.011690,0.356465
R5-12-47-1_ol_64,227.928754,-153.891021,-220.594345,-108.430096,31.559069,239.447051
R5-12-47-1_ol_65,227.928754,-153.891021,-220.594345,-108.430096,31.559069,239.447051
R5-12-47-1_ol_66,0.000000,0.000000,0.000000,0.000000,-0.130531,9.405226
R5-12-47-1_ol_67,8.273067,-4.609720,0.000000,0.000000,0.000000,0.000000
R5-12-47-1_ol_68,209.001982,-143.298419,-220.594345,-108.430096,31.689517,228.526784
R5-12-47-1_ol_69,209.001982,-143.298419,-207.754096,-100.830094,31.689517,228.526784
R5-12-47-1_ol_70,209.001982,-143.298419,-197.270577,-94.906138,31.721419,223.808271
R5-12-47-1_ol_71,207.266277,-142.336071,-196.896399,-94.768081,31.758655,223.724436
R5-12-47-1_ol_72,0.000000,0.000000,0.000000,0.000000,-0.040750,4.593810
R5-12-47-1_ol_73,0.000000,0.000000,0.000000,0.000000,0.008848,0.124703
R5-12-47-1_ol_74,0.000000,0.000000,-10.483519,-5.923956,0.000000,0.000000
R5-12-47-1_ol_75,0.000000,0.000000,-7.598277,-4.381559,0.000000,0.000000
R5-12-47-1_ol_76,1.735705,-0.962347,0.000000,0.000000,0.000000,0.000000
R5-12-47-1_ol_77,0.000000,0.000000,0.000000,0.000000,-0.031902,4.718513
R5-12-47-1_ol_78,0.000000,0.000000,-12.840249,-7.600002,0.000000,0.000000
R5-12-47-1_ol_79,10.653705,-5.982882,0.000000,0.000000,-0.130448,10.920267
R5-12-47-1_ol_80,398.956957,-259.252016,-424.390952,-220.040297,44.162354,586.819877
