# output_voltage.csv run at 2000-01-01 00:00:00 EST on 922 nodes
node_name,voltA_real,voltA_imag,voltB_real,voltB_imag,voltC_real,voltC_imag
R5-12-47-1_cap_1,7815.884042,-184.345959,-4014.232894,-6669.071123,-3664.790746,6787.972841
R5-12-47-1_cap_2,7716.982341,-256.973062,-4029.221461,-6567.050716,-3572.869013,6730.887845
R5-12-47-1_cap_3,7748.418489,-237.630625,-4027.114063,-6598.704194,-3598.843967,6750.183758
R5-12-47-1_node_1,7688.777736,-259.625588,-4018.760366,-6547.096942,-3561.446605,6708.431907
R5-12-47-1_node_2,7691.021178,-259.381852,-4019.660821,-6549.156122,-3562.780684,6710.291254
R5-12-47-1_node_3,7690.523858,-259.404244,-4019.431332,-6548.713701,-3562.510208,6709.861873
R5-12-47-1_node_4,7690.524960,-259.410310,-4019.437159,-6548.711658,-3562.505429,6709.865902
R5-12-47-1_node_5,7692.774742,-259.299317,-4020.466924,-6550.717640,-3563.737343,6711.803609
R5-12-47-1_node_6,0.000000,0.000000,0.000000,0.000000,-3725.646257,6803.731156
R5-12-47-1_node_7,0.000000,0.000000,0.000000,0.000000,-3904.845962,6868.111379
R5-12-47-1_node_8,0.000000,0.000000,0.000000,0.000000,-3904.846026,6868.111319
R5-12-47-1_node_9,0.000000,0.000000,-4002.611001,-6740.680775,0.000000,0.000000
R5-12-47-1_node_10,0.000000,0.000000,-4001.016013,-6727.221092,-3741.376526,6814.461046
R5-12-47-1_node_11,0.000000,0.000000,0.000000,0.000000,-3724.747074,6802.815999
R5-12-47-1_node_12,7709.496953,-257.500114,-4026.029481,-6561.902842,-3571.007898,6725.098979
R5-12-47-1_node_13,7717.139291,-256.878067,-4029.175221,-6567.320523,-3573.088218,6731.069834
R5-12-47-1_node_14,7955.076964,-17.260609,-3986.914541,-6889.256052,-3963.096469,6884.980564
R5-12-47-1_node_15,7931.818897,-46.310458,-3990.847346,-6846.837562,-3904.848159,6868.113602
R5-12-47-1_node_16,0.000000,0.000000,-3989.170550,-6864.157405,0.000000,0.000000
R5-12-47-1_node_17,0.000000,0.000000,-3989.170009,-6864.157557,0.000000,0.000000
R5-12-47-1_node_18,7941.524098,-34.187786,-3989.173681,-6864.169614,-3928.732417,6875.121679
R5-12-47-1_node_19,0.000000,0.000000,0.000000,0.000000,-3904.843509,6868.108996
R5-12-47-1_node_20,0.000000,0.000000,0.000000,0.000000,-3904.843684,6868.108827
R5-12-47-1_node_21,0.000000,0.000000,0.000000,0.000000,-3833.487494,6845.497027
R5-12-47-1_node_22,7951.230917,-22.034274,-3987.529933,-6882.154131,-3953.381503,6882.165441
R5-12-47-1_node_23,7951.230917,-22.034274,-3987.529933,-6882.154131,-3953.381503,6882.165441
R5-12-47-1_node_24,7955.069949,-17.227580,-3986.879834,-6889.266979,-3963.130176,6884.951238
R5-12-47-1_node_25,7956.711686,-15.184527,-3986.654804,-6892.319640,-3967.353217,6886.192714
R5-12-47-1_node_26,7956.718702,-15.217556,-3986.689512,-6892.308713,-3967.319510,6886.222040
R5-12-47-1_node_27,7955.076964,-17.260609,-3986.914541,-6889.256052,-3963.096469,6884.980564
R5-12-47-1_node_28,7789.743554,-209.757956,-4022.034681,-6636.515060,-3631.497804,6774.437345
R5-12-47-1_node_29,7789.824001,-210.095625,-4022.285395,-6637.609462,-3631.461544,6774.120038
R5-12-47-1_node_30,0.000000,0.000000,-4024.267569,-6631.646647,0.000000,0.000000
R5-12-47-1_node_31,7784.300622,-214.979953,-4024.267798,-6631.646681,-3626.405832,6771.678721
R5-12-47-1_node_32,7782.781858,-215.884618,-4024.397659,-6630.182668,-3625.303012,6770.831697
R5-12-47-1_node_33,7784.299352,-214.963153,-4024.243749,-6631.660019,-3626.417139,6771.665501
R5-12-47-1_node_34,7798.545429,-201.796527,-4019.388969,-6647.621412,-3641.287863,6778.396416
R5-12-47-1_node_35,7799.969638,-200.475787,-4018.894045,-6649.334250,-3642.892600,6779.065898
R5-12-47-1_node_36,7804.537371,-196.161924,-4017.386565,-6654.876459,-3648.336056,6781.334630
R5-12-47-1_node_37,7798.543623,-201.792033,-4019.393441,-6647.608953,-3641.289669,6778.400910
R5-12-47-1_node_38,0.000000,0.000000,-4019.392981,-6647.606760,0.000000,0.000000
R5-12-47-1_node_39,7823.796111,-175.726282,-4012.254923,-6679.290654,-3677.495358,6792.977401
R5-12-47-1_node_40,0.000000,0.000000,-4020.682941,-6643.066543,0.000000,0.000000
R5-12-47-1_node_41,7794.648509,-205.500397,-4020.687048,-6643.084928,-3636.840896,6776.486577
R5-12-47-1_node_42,7812.415876,-188.152361,-4015.083603,-6664.567783,-3659.131022,6785.751429
R5-12-47-1_node_43,0.000000,0.000000,0.000000,0.000000,-3658.621204,6785.224893
R5-12-47-1_node_44,7812.394126,-188.147992,-4015.105352,-6664.563414,-3659.186900,6785.765392
R5-12-47-1_node_45,7789.839150,-210.092834,-4022.272481,-6637.632928,-3631.455439,6774.115123
R5-12-47-1_node_46,7790.397484,-209.610066,-4022.061340,-6638.253747,-3631.947935,6774.342968
R5-12-47-1_node_47,7790.409001,-209.612582,-4022.049823,-6638.256262,-3631.916737,6774.334916
R5-12-47-1_node_48,7784.303106,-214.982560,-4024.261281,-6631.654056,-3626.403348,6771.676114
R5-12-47-1_node_49,7823.793688,-175.728491,-4012.255615,-6679.287447,-3677.492187,6792.976347
R5-12-47-1_node_50,7716.690626,-257.149290,-4029.280068,-6566.604372,-3572.497641,6730.606967
R5-12-47-1_node_51,7716.685684,-257.151593,-4029.280448,-6566.597187,-3572.491975,6730.601906
R5-12-47-1_node_52,7717.220870,-256.828963,-4029.173539,-6567.415682,-3573.172677,6731.117514
